Taxon,Cluster_name
SAMN06323839,etuwdo
SAMN06323872,etuwdo
SAMN13477395,etuwdo
SAMN06323843,etuwdo
SAMN06323866,etuwdo
SAMN02469942,etuwdo
SAMN06323840,etuwdo
SAMN06323861,etuwdo
SAMN06323864,etuwdo
SAMN06323849,etuwdo
SAMN06323873,etuwdo
SAMN13477393,etuwdo
SAMN06323851,etuwdo
SAMN06323845,etuwdo
SAMN06323856,etuwdo
SAMN06323870,etuwdo
SAMN06323853,etuwdo
SAMN06323859,etuwdo
SAMN06323865,etuwdo
SAMN06323842,etuwdo
SAMN06323848,etuwdo
SAMN06323869,etuwdo
SAMN06323850,etuwdo
SAMN06323863,etuwdo
SAMN06323854,etuwdo
SAMN06323855,etuwdo
SAMN06323867,etuwdo
SAMN06323846,etuwdo
SAMN06323868,etuwdo
SAMN07822455,hotali
SAMN07822469,hotali
SAMN06216072,hotali
SAMN07822466,hotali
SAMN06216085,hotali
SAMN07822462,hotali
SAMN07822465,hotali
SAMN06216065,hotali
SAMN06216073,hotali
SAMN06216066,hotali
SAMN06216067,hotali
SAMN07822464,hotali
SAMN06216064,hotali
SAMN06216078,hotali
SAMN06216071,hotali
SAMN07822461,hotali
SAMN06216082,hotali
SAMN08055032,hotali
SAMN07822468,hotali
SAMN07822470,hotali
SAMN06216084,hotali
SAMN08055030,hotali
SAMN06216076,hotali
SAMN06216077,hotali
SAMN06216086,hotali
SAMN07822467,hotali
SAMN06216074,hotali
SAMN07822456,hotali
SAMN03450439,hotali
SAMN07822460,hotali
SAMN06216075,hotali
SAMN07822472,hotali
SAMN06216083,hotali
SAMN07822463,hotali
SAMEA2272698,hotali
SAMN06216070,hotali
SAMN10083778,hotali
SAMN07822459,hotali
SAMN07822457,hotali
SAMN07822471,hotali
SAMN07822458,hotali
SAMN06216087,hotali
SAMN10961636,nepeu
SAMN10961634,nepeu
SAMN10961632,nepeu
SAMN10961635,nepeu
SAMN10961644,nepeu
SAMN10961633,nepeu
SAMN10961645,nepeu
SAMN10961641,nepeu
SAMN10961643,nepeu
SAMN10961648,nepeu
SAMN10961642,nepeu
SAMN10961649,nepeu
SAMN10961646,nepeu
SAMN10961639,nepeu
SAMN10961631,nepeu
SAMN10961629,nepeu
SAMN10961647,nepeu
SAMN10961630,nepeu
SAMN10961637,nepeu
SAMN10961640,nepeu
SAMN10961638,nepeu
SAMEA6786581,fifcujcaj
SAMEA6786564,fifcujcaj
SAMEA6786566,fifcujcaj
SAMN04530613,fifcujcaj
SAMEA6786568,fifcujcaj
SAMEA6786587,fifcujcaj
SAMEA6786586,fifcujcaj
SAMEA6786597,fifcujcaj
SAMEA6786578,fifcujcaj
SAMEA6786599,fifcujcaj
SAMEA6786585,fifcujcaj
SAMEA6786576,fifcujcaj
SAMEA6786579,fifcujcaj
SAMEA6786572,fifcujcaj
SAMEA6786573,fifcujcaj
SAMEA6786565,fifcujcaj
SAMEA6786604,fifcujcaj
SAMEA6786596,fifcujcaj
SAMEA6786570,fifcujcaj
SAMN02436780,gegzaz
SAMN02436781,gegzaz
SAMN02436779,gegzaz
SAMN02436918,gegzaz
SAMN02436845,gegzaz
SAMN02436922,gegzaz
SAMN02436849,gegzaz
SAMN02436694,gegzaz
SAMN02436702,gegzaz
SAMN02436782,gegzaz
SAMN02436693,gegzaz
SAMN02436778,gegzaz
SAMN02436791,gegzaz
SAMN02436703,gegzaz
SAMN02736902,hopnubu
SAMN02736897,hopnubu
SAMN02736817,hopnubu
SAMN02736895,hopnubu
SAMN02736907,hopnubu
SAMN02736906,hopnubu
SAMN02736905,hopnubu
SAMN02736910,hopnubu
SAMN02736908,hopnubu
SAMN02736909,hopnubu
SAMN02736891,hopnubu
SAMN02736903,hopnubu
SAMN02736904,hopnubu
SAMN14592743,puzek
SAMN02603204,puzek
SAMN14593074,puzek
SAMEA2240922,puzek
SAMN14589633,puzek
SAMN14593076,puzek
SAMN02603195,puzek
SAMN02604319,puzek
SAMN14589635,puzek
SAMN14593081,puzek
SAMN14593073,puzek
SAMN14593080,puzek
SAMN14592714,puzek
SAMEA103957791,sojami
SAMEA4554838,sojami
SAMEA4554832,sojami
SAMEA4554834,sojami
SAMEA33005668,sojami
SAMEA4554836,sojami
SAMEA4554840,sojami
SAMEA4554839,sojami
SAMEA4554841,sojami
SAMEA4554831,sojami
SAMEA4554837,sojami
SAMEA4554833,sojami
SAMEA4554835,sojami
SAMN03491053,zowtow
SAMN06173313,zowtow
SAMN06276721,zowtow
SAMN06459236,zowtow
SAMN02602990,zowtow
SAMN14820864,zowtow
SAMN03487572,zowtow
SAMN06459527,zowtow
SAMN13427747,zowtow
SAMN03491054,zowtow
SAMN06240245,zowtow
SAMN02593663,rudo
SAMN02639404,rudo
SAMN02639409,rudo
SAMN02639414,rudo
SAMN02952975,rudo
SAMN02639406,rudo
SAMN02639416,rudo
SAMN02230044,rudo
SAMN02639413,rudo
SAMN02639407,rudo
SAMN02639408,rudo
SAMN04350627,rou
SAMEA104484363,rou
SAMN05711856,rou
SAMEA104484364,rou
SAMN05711857,rou
SAMN13850677,rou
SAMD00051589,rou
SAMN04328852,rou
SAMN03331743,rou
SAMN04350644,rou
SAMN04362855,rou
SAMN00778882,cukabdon
SAMN00778918,cukabdon
SAMN01818776,cukabdon
SAMN00778878,cukabdon
SAMN00778860,cukabdon
SAMN00778920,cukabdon
SAMN00778913,cukabdon
SAMN00778919,cukabdon
SAMN00778921,cukabdon
SAMN00778905,cukabdon
SAMN02639415,dunbe
SAMN02639411,dunbe
SAMN02639412,dunbe
SAMN02639403,dunbe
SAMN02393727,dunbe
SAMN02639410,dunbe
SAMN02639405,dunbe
SAMN02769481,ojag
SAMN03081493,ojag
SAMD00260482,ojag
SAMN02769480,ojag
SAMN03081494,ojag
SAMD00260481,ojag
SAMN03081491,ojag
SAMEA2272468,weu
SAMEA2272051,weu
SAMEA2272560,weu
SAMEA2272457,weu
SAMEA2272546,weu
SAMEA2272632,weu
SAMN17730139,mevna
SAMN02472263,mevna
SAMN17730144,mevna
SAMD00245226,mevna
SAMN17730145,mevna
SAMN17730135,mevna
SAMN06173311,fufmeneg
SAMD00051588,fufmeneg
SAMEA3178013,fufmeneg
SAMN08275323,fufmeneg
SAMN08275321,fufmeneg
SAMN08275322,fufmeneg
HEL_AA6029AA_AS,lakkaw
HEL_AA6052AA_AS,lakkaw
HEL_AA6092AA_AS,lakkaw
HEL_AA6051AA_AS,lakkaw
HEL_AA5994AA_AS,lakkaw
HEL_AA6028AA_AS,lakkaw
SAMN17730149,diowih
SAMN17730143,diowih
SAMN17730134,diowih
SAMN17730153,diowih
SAMN17730142,diowih
SAMN16970085,zostile
SAMN14206552,zostile
SAMN16970092,zostile
SAMN16970080,zostile
SAMN14206542,zostile
SAMN03081495,ucuz
SAMN03081489,ucuz
SAMN02769477,ucuz
SAMN03081492,ucuz
SAMN03081488,ucuz
SAMN02436923,kovia
SAMN02436850,kovia
SAMN02436783,kovia
SAMN02436786,kovia
SAMN02436924,kovia
SAMEA2272717,uunu
SAMEA2272420,uunu
SAMEA2272093,uunu
SAMEA2272436,uunu
SAMEA2272431,uunu
SAMEA2271976,ziprivec
SAMEA3158462,ziprivec
SAMEA2272066,ziprivec
SAMEA2271979,ziprivec
SAMEA2271975,ziprivec
SAMD00255579,ulusi
SAMD00255594,ulusi
SAMD00255562,ulusi
SAMD00255608,ulusi
SAMD00255609,ulusi
SAMD00255566,asuvdec
SAMD00255601,asuvdec
SAMN00777266,asuvdec
SAMD00012630,asuvdec
SAMD00255575,asuvdec
SAMD00042462,tavciva
SAMD00042469,tavciva
SAMD00042477,tavciva
SAMD00012624,tavciva
SAMD00042482,tavciva
SAMN14206541,habhampa
SAMN16970068,habhampa
SAMN14206546,habhampa
SAMN16970075,habhampa
SAMN16970067,owacu
SAMN16970091,owacu
SAMN14206540,owacu
SAMN14206557,owacu
SAMN10334312,oato
SAMN10334315,oato
SAMN10338968,oato
SAMN10334314,oato
SAMN04158749,ifi
SAMN05954258,ifi
SAMN05954259,ifi
SAMN04159033,ifi
SAMN04076438,bucoki
SAMN04087215,bucoki
SAMN04087145,bucoki
SAMN04076431,bucoki
SAMN02470830,jima
SAMN14820692,jima
SAMN14820693,jima
SAMN14820694,jima
SAMEA6786603,hodamu
SAMEA6786600,hodamu
SAMEA6786595,hodamu
SAMEA6786598,hodamu
SAMD00255578,cihija
SAMD00255589,cihija
SAMN19664433,cihija
SAMD00255617,cihija
SAMD00051509,kaczolcop
SAMD00042470,kaczolcop
SAMD00051516,kaczolcop
SAMD00042483,kaczolcop
SAMD00019957,deoa
SAMD00051514,deoa
SAMD00060974,deoa
SAMD00019955,deoa
SAMN16970109,teimab
SAMN16970118,teimab
SAMN16970121,teimab
SAMN16970096,bawkuvup
SAMN16970094,bawkuvup
SAMN16970095,bawkuvup
SAMN14930130,tinbau
SAMN14930129,tinbau
SAMN14930138,tinbau
SAMN16970083,hodik
SAMN14206550,hodik
SAMN14206549,hodik
SAMN14206536,tuce
SAMN16970064,tuce
SAMN14206537,tuce
SAMN12783477,pivudzij
SAMN12783478,pivudzij
SAMN12783479,pivudzij
SAMN12783473,uhu
SAMN12783484,uhu
SAMN12783472,uhu
SAMN10715444,iagor
SAMN10715443,iagor
SAMN10715424,iagor
SAMN10715327,okaf
SAMN10715382,okaf
SAMN10715333,okaf
SAMN10411397,uufoz
SAMN10411099,uufoz
SAMN10411398,uufoz
SAMN10335772,dimi
SAMN10338989,dimi
SAMN10335774,dimi
SAMN10053852,havu
SAMN10053865,havu
SAMN10053855,havu
SAMN10053808,cowusu
SAMN10053800,cowusu
SAMN10053793,cowusu
SAMN10053787,tufiwi
SAMN10053769,tufiwi
SAMN10053762,tufiwi
SAMN08981265,vini
SAMN08981266,vini
SAMN08981264,vini
SAMN06329608,gawu
SAMN06329606,gawu
SAMN06329605,gawu
SAMN06329607,wadoho
SAMN06329616,wadoho
SAMN06329458,wadoho
SAMN06329461,mogifi
SAMN06329512,mogifi
SAMN06329447,mogifi
SAMN10881956,dobocku
SAMN10881936,dobocku
SAMN05569570,dobocku
SAMN05410721,uhap
SAMN10419330,uhap
SAMN05410615,uhap
SAMN05408280,didjowiv
SAMN05408279,didjowiv
SAMN06187423,didjowiv
SAMN04588526,celuze
SAMN04588527,celuze
SAMN08381229,celuze
SAMN04046444,safu
SAMN04076427,safu
SAMN04076430,safu
SAMN04158745,sagzof
SAMN03774879,sagzof
SAMN04158716,sagzof
SAMN02864842,ecavdi
SAMN05410330,ecavdi
SAMN06187436,ecavdi
SAMN02769474,egov
SAMN03081490,egov
SAMN02769479,egov
SAMN02603194,zuvnojdi
SAMN14593079,zuvnojdi
SAMN14593077,zuvnojdi
SAMN02376624,uvecon
SAMN02376623,uvecon
SAMN02736818,uvecon
SAMN02230257,ibotaw
SAMN02641597,ibotaw
SAMN02230259,ibotaw
SAMN07540341,ivu
SAMN03774845,ivu
SAMN02214242,ivu
SAMN00778910,pajsif
SAMN00778285,pajsif
SAMN00778892,pajsif
SAMN06250976,guhgitraz
SAMEA2272392,guhgitraz
SAMEA2272109,guhgitraz
SAMD00255577,akowog
SAMD00255563,akowog
SAMD00255590,akowog
SAMD00051511,ricitut
SAMD00042472,ricitut
SAMD00042473,ricitut
SAMD00042467,deba
SAMD00051508,deba
SAMD00042463,deba
SAMD00019973,ipimad
SAMD00019972,ipimad
SAMD00019971,ipimad
SAMD00019969,hijiz
SAMD00019968,hijiz
SAMD00019967,hijiz
SAMD00019964,judenov
SAMD00019966,judenov
SAMD00019965,judenov
SAMD00019963,vene
SAMD00019961,vene
SAMD00019962,vene
HEL_AA7324AA_AS,buhiv
HEL_AA7323AA_AS,buhiv
HEL_AA7263AA_AS,buhiv
SAMN18350188,rafomu
SAMN18350230,rafomu
SAMN17730155,aleroh
SAMN17730156,aleroh
SAMN17730140,usul
SAMN17730154,usul
SAMN17730136,tiwo
SAMN17730137,tiwo
SAMN16970122,arubu
SAMN16970120,arubu
SAMN16970113,umoo
SAMN16970114,umoo
SAMN16970111,vahaca
SAMN16970110,vahaca
SAMN16970106,iio
SAMN16970100,iio
SAMN16970071,poojef
SAMN16970087,poojef
SAMN15869407,juptaki
SAMN15869406,juptaki
SAMN15869209,wocpinti
SAMN15869408,wocpinti
SAMN14930144,sosa
SAMN14930145,sosa
SAMN14930139,kiuo
SAMN14930133,kiuo
SAMN14593084,jadis
SAMN14593089,jadis
SAMN14206556,irobker
SAMN16970090,irobker
SAMN16970074,eubo
SAMN14206545,eubo
SAMN14206544,pedithos
SAMN16970070,pedithos
SAMN16970069,luto
SAMN14206543,luto
SAMN16970066,vieji
SAMN14206539,vieji
SAMN12783505,nevenil
SAMN12783507,nevenil
SAMN12783480,boaku
SAMN12783495,boaku
SAMN12011830,gike
SAMN12011827,gike
SAMN12011826,pathiz
SAMN12011831,pathiz
SAMN12011824,uue
SAMN12011838,uue
SAMN10881965,wou
SAMN10881971,wou
SAMN10881946,laco
SAMN10881963,laco
SAMN10881968,iiduz
SAMN10881935,iiduz
SAMN10715447,kaze
SAMN10715448,kaze
SAMN10715445,dunawze
SAMN10715395,dunawze
SAMN10345083,adur
SAMN10339333,adur
SAMN10341929,ufidu
SAMN10339054,ufidu
SAMN10335778,hodok
SAMN10340874,hodok
SAMN10335734,cujaz
SAMN10335733,cujaz
SAMN10335731,luci
SAMN10335795,luci
SAMN10339039,jubabu
SAMN10335729,jubabu
SAMN10334316,nowipa
SAMN10335716,nowipa
SAMN10053703,pigdedo
SAMN10053716,pigdedo
SAMN10053600,kavpip
SAMN10053592,kavpip
SAMN10053502,ceszo
SAMN10053522,ceszo
SAMN10053444,suha
SAMN10053452,suha
SAMN09935063,igeh
SAMN09935062,igeh
SAMN09935058,toka
SAMN09935060,toka
SAMN09935051,tini
SAMN10881955,tini
SAMN08981272,wuponza
SAMN08981273,wuponza
SAMN08981270,uki
SAMN08981271,uki
SAMN08866515,urua
SAMN08866510,urua
SAMN08866490,jeta
SAMN08866505,jeta
SAMN08381231,kigroe
SAMN08381218,kigroe
SAMN08093261,ruwokju
SAMN08093262,ruwokju
SAMN08093254,oti
SAMN08093249,oti
SAMN08866511,romloshu
SAMN06504479,romloshu
SAMN06504474,ficato
SAMN06504477,ficato
SAMN06329581,wabmo
SAMN07540336,wabmo
SAMN06329569,zitarib
SAMN06329462,zitarib
SAMN06329446,liohuz
SAMN06329537,liohuz
SAMN06329453,otuvzi
SAMN06329445,otuvzi
SAMN05806844,rotugo
SAMN05806843,rotugo
SAMN05804676,jisvao
SAMN05804593,jisvao
SAMN05771044,rogcuhe
SAMN05791023,rogcuhe
SAMN05804595,judu
SAMN05771043,judu
SAMN10881964,dumjiro
SAMN05569590,dumjiro
SAMN11483334,emut
SAMN05569587,emut
SAMN05569586,dechis
SAMN11483335,dechis
SAMN05569579,uo
SAMN10881945,uo
SAMN10881937,pubzeg
SAMN05569578,pubzeg
SAMN05569576,ue
SAMN09935047,ue
SAMN05569575,niogiz
SAMN10881943,niogiz
SAMN11483336,kasujef
SAMN05569574,kasujef
SAMN05569572,uvanah
SAMN10881973,uvanah
SAMN05569568,jeawoh
SAMN10881947,jeawoh
SAMN10881967,iwo
SAMN05569567,iwo
SAMN05569564,demjob
SAMN10881938,demjob
SAMN05569563,oi
SAMN10881972,oi
SAMN05569562,ivi
SAMN11483333,ivi
SAMN05569561,oue
SAMN09935056,oue
SAMN05569559,pae
SAMN10881962,pae
SAMN18350180,huchehe
SAMN05410761,huchehe
SAMN05410756,womaci
SAMN06187446,womaci
SAMN05410614,bofavi
SAMN05410724,bofavi
SAMN05410604,etonhu
SAMN05410608,etonhu
SAMN05410594,anawfo
SAMN05410609,anawfo
SAMN05410575,lopa
SAMN05410649,lopa
SAMN05410572,mazcife
SAMN06187452,mazcife
SAMN06187418,uu
SAMN05410569,uu
SAMN06187447,areo
SAMN05410567,areo
SAMN06187424,ipolhi
SAMN05410381,ipolhi
SAMN06187450,tizfukmu
SAMN05410354,tizfukmu
SAMN06187448,euma
SAMN05410352,euma
SAMN05410345,ninowac
SAMN06187449,ninowac
SAMN06187439,aefin
SAMN05410329,aefin
SAMN06187420,zako
SAMN05408385,zako
SAMN06187421,ei
SAMN05408342,ei
SAMN10419324,fobobi
SAMN05408341,fobobi
SAMN05408283,oa
SAMN06187422,oa
SAMN05408282,ificti
SAMN06187419,ificti
SAMN05408281,emag
SAMN06187435,emag
SAMN05408278,juze
SAMN06187438,juze
SAMN05408023,amobu
SAMN06187430,amobu
SAMN05408020,jiaca
SAMN06187417,jiaca
SAMN06187425,iuu
SAMN05408005,iuu
SAMN05407985,ujibe
SAMN06187455,ujibe
SAMN05407984,bua
SAMN06187426,bua
SAMN06187437,vasfi
SAMN05407983,vasfi
SAMN05407981,bidue
SAMN06187440,bidue
SAMN05407978,tavze
SAMN06187456,tavze
SAMN05407977,ocubhu
SAMN06187441,ocubhu
SAMN06187442,regbu
SAMN05407976,regbu
SAMN06187443,gagcup
SAMN05407974,gagcup
SAMN05407973,hicahi
SAMN06187444,hicahi
SAMN06187445,lua
SAMN05407970,lua
SAMN05407969,bibsu
SAMN06187458,bibsu
SAMN06187427,lazga
SAMN05407497,lazga
SAMN05405368,joee
SAMN06187431,joee
SAMN06187428,donvumsov
SAMN05404045,donvumsov
SAMN05399447,bufbar
SAMN06187429,bufbar
SAMN05395355,kiebo
SAMN06187432,kiebo
SAMN06187433,badenaz
SAMN05394518,badenaz
SAMN06187434,tapsokuj
SAMN05393257,tapsokuj
SAMN04588529,muau
SAMN08381212,muau
SAMN08381222,beccor
SAMN04588528,beccor
SAMN04530590,lidigo
SAMN04530589,lidigo
SAMN04159053,iguk
SAMN04159052,iguk
SAMN04158747,ejui
SAMN04158748,ejui
SAMN04076428,dasapop
SAMN04076425,dasapop
SAMN07540348,ofae
SAMN03777294,ofae
SAMN03777201,torio
SAMN07540347,torio
SAMN03777199,seipez
SAMN07540346,seipez
SAMN03776113,tia
SAMN07540345,tia
SAMN07540343,fijao
SAMN03776086,fijao
SAMN07540344,wunoa
SAMN03776045,wunoa
SAMN07540342,vuomo
SAMN03774873,vuomo
SAMN03151583,cito
SAMN03153300,cito
SAMN02736816,ipe
SAMN02736809,ipe
SAMN02724990,mawdi
SAMN08381237,mawdi
SAMN02709541,tojujwi
SAMN10919719,tojujwi
SAMN02709544,zuceno
SAMN02709540,zuceno
SAMN02709547,torvaa
SAMN02709538,torvaa
SAMN02709537,ogogo
SAMN02709536,ogogo
SAMN02709532,rijoe
SAMN02709533,rijoe
SAMN02709531,eao
SAMN02709530,eao
SAMN02709528,audoj
SAMN02709529,audoj
SAMN02709527,inij
SAMN02709526,inij
SAMN02709524,loccokuh
SAMN02709525,loccokuh
SAMN02709521,zasa
SAMN02709520,zasa
SAMN02709519,efu
SAMN02709518,efu
SAMN02709517,ogid
SAMN02709516,ogid
SAMN02709515,eikeb
SAMN02709514,eikeb
SAMN02709512,patvi
SAMN02709513,patvi
SAMN02709510,kihino
SAMN02709511,kihino
SAMN02709508,vata
SAMN02709509,vata
SAMN02709506,ovuh
SAMN02709507,ovuh
SAMN02709504,evu
SAMN02709505,evu
SAMN02709503,ohujgo
SAMN02709502,ohujgo
SAMN02709500,sarnoi
SAMN02709501,sarnoi
SAMN02471801,topu
SAMN03765649,topu
SAMN02436916,tumoge
SAMN02436852,tumoge
SAMN02436921,wihonur
SAMN02436784,wihonur
SAMN02436704,omeh
SAMN02436851,omeh
SAMN02436700,tifcoku
SAMN02436699,tifcoku
SAMN02230260,tedamig
SAMN02604194,tedamig
SAMN00997712,totfav
SAMN00997705,totfav
SAMN00778889,coduc
SAMN00778899,coduc
SAMN00778886,igawug
SAMN00778897,igawug
SAMN00778900,zije
SAMN00778884,zije
SAMN00778883,rokopne
SAMN00778895,rokopne
SAMN00778880,ewutfet
SAMN00778903,ewutfet
SAMN00778885,koveda
SAMN00778877,koveda
SAMN00778874,jiuwir
SAMN00778875,jiuwir
SAMN00778901,bickodol
SAMN00778870,bickodol
SAMEA6786589,mozzihah
SAMEA6786584,mozzihah
SAMEA6786606,nufuf
SAMEA6786582,nufuf
SAMEA6786577,oroja
SAMEA6786569,oroja
SAMEA6786567,opat
SAMEA6786592,opat
SAMN02436853,feruso
SAMEA5850934,feruso
SAMEA5850860,gigapran
SAMN02299423,gigapran
SAMEA3138961,ibospig
SAMEA2272778,ibospig
SAMEA2272726,ano
SAMEA3138959,ano
SAMEA2272595,tiztol
SAMEA2272691,tiztol
SAMEA2272671,uole
SAMEA2272588,uole
SAMEA2272529,laje
SAMEA2272729,laje
SAMEA2272484,aji
SAMEA2272364,aji
SAMEA2272687,ihibho
SAMEA2272259,ihibho
SAMEA2272600,tihvao
SAMEA2272240,tihvao
SAMEA2272170,ewikka
SAMEA2272166,ewikka
SAMEA2272151,ipah
SAMEA2272498,ipah
SAMEA2272061,atir
SAMEA2272033,atir
SAMEA2272517,jiholi
SAMEA2272015,jiholi
SAMEA2272059,vorsoza
SAMEA2271981,vorsoza
SAMEA2272102,ekusub
SAMEA2271971,ekusub
SAMEA2271951,jutrobo
SAMEA2272099,jutrobo
SAMEA2271940,wapuhir
SAMEA2272133,wapuhir
SAMEA2271927,iee
SAMEA2272533,iee
SAMN02603202,fiai
SAMEA2240934,fiai
SAMN02603203,ziszejku
SAMEA2240933,ziszejku
SAMEA2240921,lufsobre
SAMN02604237,lufsobre
SAMN00777116,ovohi
SAMD00255596,ovohi
SAMD00255598,jefir
SAMD00255582,jefir
SAMD00255556,lorati
SAMD00051517,lorati
SAMD00051515,kumta
SAMD00042480,kumta
SAMD00042474,hunu
SAMD00051512,hunu
SAMD00042471,ocoi
SAMD00051510,ocoi
SAMD00019960,kowgeczum
SAMD00019959,kowgeczum
SAMD00012636,mahdusma
SAMD00255570,mahdusma
SAMD00012635,nohagsuc
SAMD00060971,nohagsuc
SAMD00012629,zabebaf
SAMD00012634,zabebaf
SAMD00012620,podrapa
SAMD00012628,podrapa
SAMN14820866,fuzia
HEL_AA7380AA_AS,fuzia
HEL_AA7341AA_AS,nonbawi
HEL_AA7321AA_AS,nonbawi
HEL_AA7372AA_AS,horik
HEL_AA7243AA_AS,horik
HEL_AA7241AA_AS,navipzod
HEL_AA7355AA_AS,navipzod
SAMN02731781,litku
HEL_AA7231AA_AS,litku
HEL_AA5916AA_AS,daa
HEL_AA6037AA_AS,daa
SAMN19664476,mehau
SAMN19664464,befu
SAMN19664435,vetzaniv
SAMN19664431,meddufho
SAMN19664424,sinjof
SAMN19664375,hegnul
SAMN19664326,ofi
SAMN19664322,cizco
SAMN19664317,miude
SAMN19664309,poea
SAMN19664307,nogipgew
SAMN19664297,ovilta
SAMN19664254,giwe
SAMN18819935,cuclute
SAMN18819934,bijafdo
SAMN18819933,soriz
SAMN18819932,ailu
SAMN18819931,loi
SAMN18350271,bowhik
SAMN18350270,cuhesa
SAMN18350231,jibu
SAMN18350190,nawdeh
SAMN18350156,evesik
SAMN18350106,jojocih
SAMN17734764,vonkavi
SAMN17734763,nodimo
SAMN17734762,oji
SAMN17734761,kahuv
SAMN17730152,rawada
SAMN17730151,tiji
SAMN17730150,suga
SAMN17730148,nagi
SAMN17730147,au
SAMN17730146,casu
SAMN17730141,iie
SAMN17730138,sishinbam
SAMN17730133,diha
SAMN16970125,livtovmik
SAMN16970124,duhfoki
SAMN16970123,hinzovu
SAMN16970119,gimkatum
SAMN16970117,fubom
SAMN16970116,cuwoc
SAMN16970115,zompeh
SAMN16970112,apeu
SAMN16970108,dufilgap
SAMN16970105,cuvhijo
SAMN16970104,fui
SAMN16970102,elo
SAMN16970097,zuvo
SAMN16970077,vui
SAMN16970072,uliw
SAMN16801852,niwdohuz
SAMN16801851,aewu
SAMN16801850,hojmu
SAMN16801849,revamril
SAMN16801848,cofau
SAMN16801847,puea
SAMN16801846,sofonri
SAMN16801845,tetluv
SAMN16801844,hoezi
SAMN16801843,fundow
SAMN15869409,nagisu
SAMN14930143,aju
SAMN14930142,acoz
SAMN14930141,puvo
SAMN14930140,ruvalon
SAMN14930137,ehiz
SAMN14930136,ece
SAMN14930135,zedcimju
SAMN14930134,gohiwoc
SAMN14930132,oae
SAMN14930131,iho
SAMN14930128,wosi
SAMN14930127,rakugan
SAMN14930126,esese
SAMN14593100,saji
SAMN14593099,sedi
SAMN14593098,midovke
SAMN14593097,locfid
SAMN14593096,nuluzu
SAMN14593095,renuge
SAMN14593093,barla
SAMN14593092,sewka
SAMN14593091,cii
SAMN14593090,piaru
SAMN14593088,tehoj
SAMN14593087,apoce
SAMN14593086,ooi
SAMN14593085,iluza
SAMN14593083,tiku
SAMN14593082,kidad
SAMN14593078,oo
SAMN14593075,wedcou
SAMN14589656,pasave
SAMN14080455,kikol
SAMN13950474,kuka
SAMN13950473,godfirbi
SAMN13950472,ofu
SAMN12783508,puio
SAMN12783506,vupilev
SAMN12783504,wisod
SAMN12783503,mujjuc
SAMN12783502,danankuk
SAMN12783501,leefid
SAMN12783500,jemjipim
SAMN12783499,ezem
SAMN12783498,uvah
SAMN12783497,eamot
SAMN12783496,juhesa
SAMN12783494,hizbilut
SAMN12783493,joda
SAMN12783492,ivilbij
SAMN12783491,oepev
SAMN12783490,toftu
SAMN12783489,lekih
SAMN12783488,leciku
SAMN12783487,usapdi
SAMN12783486,fisinu
SAMN12783485,wibnofsof
SAMN12783483,eja
SAMN12783482,euu
SAMN12783481,jaaa
SAMN12783476,ozorbe
SAMN12783475,jofi
SAMN12783474,lozu
