No	Sample	N_SNPs	GD1_x	GD2_y	GD3_z	F_percent	E_percent	A_percent	hpgpAfrica	hpgpAfrica-distant	hpgpAfroamerica	hpgpEuroamerica	hpgpMediterranea	hpgpEurope	hpgpEurasia	hpgpAsia	hpgpAklavik86-like	Refpop	Nearest_neighbor	Separation_percent
15	HpGP-ARG-005	44787	1.328222	1.261237	0.004115	23.44	76.56	0	0.365787	0.576599	0.295557	0.258926	0.246577	0.269126	0.34642	0.501025	0.481414	hpgpMediterranea	hpgpEuroamerica	5.01
16	HpGP-ARG-006	44787	1.143966	1.126251	-0.015492	81.16	13.84	5.01	0.232112	0.554127	0.210831	0.254966	0.27263	0.307003	0.377211	0.510287	0.480133	hpgpAfroamerica	hpgpAfrica	10.09
17	HpGP-ARG-007	44787	1.338789	1.258513	0.01115	23.12	76.88	0	0.372003	0.579937	0.300898	0.2632	0.25566	0.275912	0.349745	0.495837	0.480648	hpgpMediterranea	hpgpEuroamerica	2.95
18	HpGP-ARG-008	44787	1.77055	1.0921	-0.009109	1.01	0	98.99	0.478753	0.576767	0.36729	0.326479	0.337372	0.305934	0.253888	0.166442	0.291077	hpgpAsia	hpgpEurasia	52.54
19	HpGP-ARG-009	44787	1.772022	1.100219	-0.008491	0	0.11	99.89	0.482625	0.575016	0.368497	0.326753	0.335485	0.303461	0.253153	0.170718	0.291438	hpgpAsia	hpgpEurasia	48.29
20	HpGP-ARG-010	44787	1.773669	1.094568	-0.006636	0.08	0	99.92	0.481966	0.577064	0.36841	0.326706	0.337861	0.307086	0.254359	0.166982	0.289198	hpgpAsia	hpgpEurasia	52.33
21	HpGP-BGD-001	44787	1.602445	1.25976	0.058383	0	75.21	24.79	0.499932	0.607338	0.391576	0.348135	0.348491	0.308469	0.226948	0.372735	0.414649	hpgpEurasia	hpgpEurope	35.92
22	HpGP-BGD-002	44787	1.60134	1.254988	0.054489	0	73.75	26.25	0.496104	0.605183	0.388477	0.346266	0.347766	0.306863	0.225953	0.369379	0.414122	hpgpEurasia	hpgpEurope	35.81
23	HpGP-BGD-003	44787	1.593591	1.264348	0.059123	0	77.54	22.46	0.498313	0.608971	0.391014	0.346705	0.344894	0.307706	0.23677	0.380284	0.420833	hpgpEurasia	hpgpEurope	29.96
24	HpGP-BGD-004	44787	1.480503	1.283518	0.006849	0	96.63	3.37	0.43757	0.584906	0.340744	0.288911	0.278948	0.258724	0.296139	0.436126	0.448746	hpgpEurope	hpgpMediterranea	7.82
25	HpGP-BGD-005	44787	1.419799	1.272627	0.007932	10.56	89.44	0	0.409104	0.581032	0.327823	0.287015	0.280115	0.265492	0.318618	0.461387	0.464936	hpgpEurope	hpgpMediterranea	5.51
26	HpGP-BGD-006	44787	1.437515	1.297129	0.012981	2.74	97.26	0	0.427538	0.583801	0.334715	0.285025	0.274466	0.260391	0.318962	0.468276	0.471911	hpgpEurope	hpgpMediterranea	5.41
27	HpGP-BGD-007	44787	1.424288	1.290682	8e-04	5.8	94.2	0	0.414708	0.578907	0.325898	0.278182	0.264379	0.252563	0.317532	0.467932	0.464961	hpgpEurope	hpgpMediterranea	4.68
28	HpGP-BGD-008	44787	1.595304	1.263305	0.056559	0	77.04	22.96	0.497572	0.608693	0.389511	0.345274	0.345858	0.305808	0.230561	0.378067	0.419752	hpgpEurasia	hpgpEurope	32.64
29	HpGP-BGD-009	44787	1.435587	1.270905	0.014594	8.91	90.09	1	0.417677	0.585251	0.333851	0.296344	0.289847	0.27143	0.311722	0.453989	0.463419	hpgpEurope	hpgpMediterranea	6.79
30	HpGP-BGD-010	44787	1.453328	1.286026	0.00429	3.1	96.9	0	0.426314	0.584629	0.334065	0.284623	0.271397	0.256413	0.305824	0.451028	0.455215	hpgpEurope	hpgpMediterranea	5.84
31	HpGP-BGR-001	44787	1.421469	1.290785	-0.006728	6.12	93.88	0	0.410491	0.575355	0.320738	0.26908	0.25515	0.24607	0.319417	0.467392	0.463049	hpgpEurope	hpgpMediterranea	3.69
32	HpGP-BGR-003	44787	1.501187	1.287123	-0.001851	0	95.04	4.96	0.443798	0.586108	0.339853	0.286412	0.276295	0.249217	0.294342	0.42517	0.438937	hpgpEurope	hpgpMediterranea	10.87
33	HpGP-BGR-004	44787	1.423929	1.298687	0.000314	4.11	95.89	0	0.417333	0.576327	0.326825	0.273936	0.258831	0.249229	0.324321	0.472786	0.470126	hpgpEurope	hpgpMediterranea	3.85
34	HpGP-BGR-005	44787	1.447358	1.2911	-0.002428	2.77	97.23	0	0.422985	0.586776	0.329997	0.279181	0.265869	0.248903	0.31442	0.455327	0.459634	hpgpEurope	hpgpMediterranea	6.82
35	HpGP-BGR-006	44787	1.457909	1.294691	0.000394	0.6	99.4	0	0.429803	0.57765	0.333813	0.280141	0.266289	0.249722	0.311875	0.45278	0.455104	hpgpEurope	hpgpMediterranea	6.63
36	HpGP-BGR-007	44787	1.441535	1.298061	0.007549	2.03	97.97	0	0.427293	0.586943	0.334518	0.283555	0.270987	0.255208	0.321198	0.46526	0.46648	hpgpEurope	hpgpMediterranea	6.18
37	HpGP-BGR-008	44787	1.449684	1.29289	-0.000346	2.08	97.92	0	0.42546	0.583517	0.329926	0.279455	0.265741	0.249988	0.313778	0.455765	0.455369	hpgpEurope	hpgpMediterranea	6.3
38	HpGP-BGR-010	44787	1.454649	1.298473	0.000426	0.23	99.77	0	0.429885	0.581149	0.333894	0.282007	0.270094	0.248468	0.314453	0.456749	0.45697	hpgpEurope	hpgpMediterranea	8.7
39	HpGP-BRA-001	44787	1.073519	1.101923	-0.013763	96.3	1.01	2.69	0.194932	0.557882	0.215933	0.258788	0.277188	0.319537	0.393649	0.532721	0.493211	hpgpAfrica	hpgpAfroamerica	10.77
40	HpGP-BRA-002	44787	1.06029	1.092937	-0.019886	96.51	0	3.49	0.183654	0.555947	0.20789	0.255627	0.274914	0.317901	0.392503	0.532517	0.493856	hpgpAfrica	hpgpAfroamerica	13.2
41	HpGP-BRA-003	44787	1.345667	1.259992	0.004694	22.05	77.95	0	0.37271	0.573983	0.29974	0.261023	0.248077	0.269552	0.344691	0.491386	0.476555	hpgpMediterranea	hpgpEuroamerica	5.22
42	HpGP-BRA-004	44787	1.409446	1.295953	0.007903	6.44	93.56	0	0.413511	0.58187	0.324702	0.276035	0.263712	0.257264	0.332291	0.480742	0.477816	hpgpEurope	hpgpMediterranea	2.51
43	HpGP-BRA-005	44787	1.042965	1.080832	-0.02819	95.51	0	4.49	0.168643	0.548985	0.195494	0.25305	0.273119	0.315634	0.389364	0.531969	0.491666	hpgpAfrica	hpgpAfroamerica	15.92
44	HpGP-BRA-006	44787	1.322812	1.2618	0.006394	23.81	76.19	0	0.364718	0.577098	0.296609	0.261002	0.248082	0.271065	0.350305	0.504794	0.488951	hpgpMediterranea	hpgpEuroamerica	5.21
45	HpGP-BRA-007	44787	1.047784	1.084009	-0.02583	95.72	0	4.28	0.172769	0.552067	0.196567	0.253541	0.274601	0.316378	0.391331	0.532021	0.493315	hpgpAfrica	hpgpAfroamerica	13.77
46	HpGP-BRA-008	44787	1.300392	1.232573	0.002309	34.09	65.91	0	0.343	0.572138	0.277544	0.236904	0.255699	0.278873	0.352239	0.497777	0.47698	hpgpEuroamerica	hpgpMediterranea	7.93
47	HpGP-BRA-009	44787	1.310336	1.254861	0.005312	26.81	73.19	0	0.356585	0.574858	0.292824	0.260674	0.248714	0.273039	0.352725	0.506809	0.489426	hpgpMediterranea	hpgpEuroamerica	4.81
48	HpGP-BRA-010	44787	1.050702	1.087315	-0.024942	96.23	0	3.77	0.175557	0.549755	0.199473	0.253984	0.274248	0.315853	0.391032	0.532733	0.49398	hpgpAfrica	hpgpAfroamerica	13.62
49	HpGP-BRA-012	44787	1.756099	1.105061	-8.4e-05	0.25	2.67	97.08	0.481363	0.580964	0.373041	0.331409	0.341189	0.309483	0.261591	0.18419	0.304632	hpgpAsia	hpgpEurasia	42.02
50	HpGP-BRA-013	44787	1.068063	1.087343	-0.02275	93.96	0	6.04	0.183582	0.554269	0.205014	0.256742	0.27728	0.317218	0.388312	0.524343	0.486325	hpgpAfrica	hpgpAfroamerica	11.67
51	HpGP-BRA-014	44787	1.129848	1.139471	-0.011834	79.41	20.59	0	0.232743	0.557494	0.213129	0.251603	0.267559	0.305783	0.381076	0.526545	0.488962	hpgpAfroamerica	hpgpAfrica	9.2
52	HpGP-BRA-015	44787	1.432533	1.279685	-0.000559	7.27	92.73	0	0.413443	0.585442	0.324308	0.277932	0.269388	0.255149	0.314307	0.456685	0.456213	hpgpEurope	hpgpMediterranea	5.58
53	HpGP-BRA-017	44787	1.344227	1.26448	0.005141	21.02	78.98	0	0.37397	0.575749	0.300686	0.261675	0.247087	0.268345	0.343619	0.494947	0.477744	hpgpMediterranea	hpgpEuroamerica	5.9
54	HpGP-BRA-018	44787	1.059503	1.088436	-0.022526	95.38	0	4.62	0.180573	0.552853	0.202946	0.254746	0.27522	0.317275	0.391305	0.529501	0.491429	hpgpAfrica	hpgpAfroamerica	12.39
55	HpGP-BRA-019	44787	1.041214	1.082438	-0.017275	96.15	0	3.85	0.173018	0.55371	0.203346	0.256317	0.278991	0.324586	0.397205	0.536833	0.494706	hpgpAfrica	hpgpAfroamerica	17.53
56	HpGP-BRA-020	44787	1.033415	1.070615	-0.031558	94.13	0	5.87	0.15955	0.543371	0.188016	0.252722	0.274203	0.316729	0.391117	0.529872	0.490428	hpgpAfrica	hpgpAfroamerica	17.84
57	HpGP-BRA-022	44787	1.057486	1.087034	-0.02939	95.27	0	4.73	0.1764	0.551095	0.196526	0.250647	0.269747	0.311883	0.387154	0.527825	0.492163	hpgpAfrica	hpgpAfroamerica	11.41
58	HpGP-BRA-023	44787	1.144977	1.120319	-0.019569	82.31	10.71	6.98	0.228645	0.555669	0.208416	0.255331	0.273016	0.305595	0.371241	0.505087	0.477137	hpgpAfroamerica	hpgpAfrica	9.71
59	HpGP-BRA-025	44787	1.308656	1.237453	0.006573	31.89	68.11	0	0.349953	0.572484	0.286104	0.249536	0.257599	0.280545	0.354361	0.497585	0.480085	hpgpEuroamerica	hpgpMediterranea	3.23
60	HpGP-CAN-001	44787	1.746477	1.126748	0.001602	0	13.67	86.33	0.486167	0.573267	0.368324	0.325201	0.336206	0.303321	0.250335	0.202652	0.232837	hpgpAsia	hpgpAklavik86-like	14.89
61	HpGP-CAN-002	44787	1.170367	1.127741	-0.001522	77.14	14.62	8.23	0.249235	0.557827	0.217323	0.267356	0.286578	0.317794	0.370168	0.501313	0.459043	hpgpAfroamerica	hpgpAfrica	14.68
62	HpGP-CAN-004	44787	1.196878	1.12104	-0.001891	74.9	11.09	14.01	0.257456	0.558681	0.220765	0.271183	0.290844	0.319113	0.365096	0.483437	0.44842	hpgpAfroamerica	hpgpAfrica	16.62
63	HpGP-CAN-006	44787	1.704688	1.177686	0.087402	0	37.78	62.22	0.5233	0.601096	0.408137	0.373015	0.387875	0.360549	0.309802	0.278414	0.108243	hpgpAklavik86-like	hpgpAsia	157.21
64	HpGP-CAN-007	44787	1.716998	1.175066	0.078932	0	36.13	63.87	0.523881	0.595618	0.407447	0.368763	0.383653	0.35377	0.300485	0.268133	0.155517	hpgpAklavik86-like	hpgpAsia	72.41
65	HpGP-CAN-008	44787	1.541079	1.262379	0.009939	0	82.33	17.67	0.455811	0.585728	0.34922	0.301776	0.297728	0.267285	0.260471	0.392863	0.406793	hpgpEurasia	hpgpEurope	2.62
66	HpGP-CAN-010	44787	1.688965	1.175043	0.084084	0	37.46	62.54	0.514511	0.596758	0.401798	0.369094	0.384306	0.35911	0.309138	0.284077	0.109817	hpgpAklavik86-like	hpgpAsia	158.68
67	HpGP-CAN-011	44787	1.705547	1.178027	0.087337	0	37.88	62.12	0.523752	0.601686	0.408379	0.373028	0.387826	0.360341	0.309762	0.278155	0.108473	hpgpAklavik86-like	hpgpAsia	156.43
68	HpGP-CAN-012	44787	1.155021	1.113618	-0.014755	82.36	7.18	10.46	0.232254	0.555424	0.215219	0.262595	0.280337	0.31192	0.371422	0.497176	0.458824	hpgpAfroamerica	hpgpAfrica	7.92
69	HpGP-CAN-014	44787	1.591877	1.232469	0.0254	0	66.79	33.21	0.471885	0.587864	0.362648	0.31859	0.320581	0.290097	0.261162	0.352805	0.348285	hpgpEurasia	hpgpEurope	11.08
70	HpGP-CAN-015	44787	1.690029	1.175334	0.084684	0	37.53	62.47	0.515302	0.597106	0.402578	0.36962	0.384887	0.359492	0.309294	0.283864	0.10954	hpgpAklavik86-like	hpgpAsia	159.14
71	HpGP-CAN-016	44787	1.695485	1.180615	0.077182	0	39.44	60.56	0.516408	0.597	0.402034	0.365813	0.37867	0.350878	0.304557	0.282144	0.139729	hpgpAklavik86-like	hpgpAsia	101.92
72	HpGP-CAN-017	44787	1.570782	1.229839	0.000301	0	67.74	32.26	0.451928	0.582867	0.344284	0.297078	0.297858	0.26989	0.262426	0.355292	0.36104	hpgpEurasia	hpgpEurope	2.84
73	HpGP-CAN-018	44787	1.635214	1.17154	0.076923	2.66	37.71	59.63	0.488241	0.592558	0.38568	0.360074	0.376662	0.355803	0.317642	0.307901	0.148909	hpgpAklavik86-like	hpgpAsia	106.77
74	HpGP-CAN-019	44787	1.705528	1.166371	0.066563	0	33	67	0.51086	0.59346	0.396532	0.359368	0.375609	0.346546	0.296627	0.265477	0.142994	hpgpAklavik86-like	hpgpAsia	85.66
75	HpGP-CAN-020	44787	1.745264	1.11491	-0.001895	0	7.83	92.17	0.479834	0.564369	0.362909	0.322496	0.333886	0.304642	0.250231	0.195223	0.21915	hpgpAsia	hpgpAklavik86-like	12.26
76	HpGP-CAN-022	44787	1.54381	1.252734	0.004639	0	78.74	21.26	0.451165	0.584127	0.345674	0.300989	0.297871	0.266118	0.241666	0.384208	0.39749	hpgpEurasia	hpgpEurope	10.12
77	HpGP-CAN-023	44787	1.747762	1.12658	0.011633	0	13.57	86.43	0.490763	0.570772	0.372508	0.330364	0.342587	0.31206	0.257178	0.204635	0.226451	hpgpAsia	hpgpAklavik86-like	10.66
78	HpGP-CAN-025	44787	1.551428	1.262163	0.009228	0	81.13	18.87	0.459677	0.589094	0.350791	0.304112	0.300398	0.266431	0.240126	0.387169	0.398839	hpgpEurasia	hpgpEurope	10.95
79	HpGP-CAN-026	44787	1.562267	1.262326	0.010856	0	80.03	19.97	0.464848	0.587356	0.354183	0.306815	0.303016	0.267455	0.238769	0.382089	0.395201	hpgpEurasia	hpgpEurope	12.01
80	HpGP-CHI-001	44787	1.376946	1.263767	0.00276	17.77	82.23	0	0.386129	0.569363	0.305019	0.262507	0.244889	0.26554	0.335688	0.476889	0.463372	hpgpMediterranea	hpgpEuroamerica	7.19
81	HpGP-CHI-002	44787	1.36888	1.263339	0.002674	18.76	81.24	0	0.38263	0.573539	0.30463	0.262524	0.241955	0.265867	0.337453	0.480794	0.4664	hpgpMediterranea	hpgpEuroamerica	8.5
82	HpGP-CHI-004	44787	1.258336	1.194887	0.004822	50.11	49.89	0	0.312815	0.567059	0.258353	0.248651	0.268089	0.296102	0.363872	0.497683	0.475614	hpgpEuroamerica	hpgpAfroamerica	3.9
83	HpGP-CHI-005	44787	1.321017	1.207235	0.007633	38.78	56.53	4.69	0.344236	0.570043	0.279564	0.249452	0.270878	0.292126	0.351084	0.473337	0.450618	hpgpEuroamerica	hpgpMediterranea	8.59
84	HpGP-CHI-006	44787	1.42602	1.249853	0.009867	14.83	78.99	6.17	0.403994	0.575157	0.316684	0.273564	0.259815	0.275302	0.329295	0.44503	0.430383	hpgpMediterranea	hpgpEuroamerica	5.29
85	HpGP-CHI-007	44787	1.369044	1.259227	0.001685	19.82	80.18	0	0.380763	0.574137	0.30326	0.260731	0.238596	0.266504	0.339423	0.477972	0.46348	hpgpMediterranea	hpgpEuroamerica	9.28
86	HpGP-CHI-008	44787	1.366853	1.258318	0.00684	20.3	79.7	0	0.381652	0.576543	0.304797	0.265237	0.250594	0.271383	0.34302	0.479977	0.468478	hpgpMediterranea	hpgpEuroamerica	5.84
87	HpGP-CHI-010	44787	1.415992	1.241692	0.003484	18.01	74.69	7.3	0.394227	0.576184	0.312821	0.270516	0.255586	0.273042	0.327444	0.443588	0.433859	hpgpMediterranea	hpgpEuroamerica	5.84
88	HpGP-CHI-011	44787	1.318504	1.219623	0.000443	36.44	63.06	0.5	0.344844	0.563052	0.279876	0.242595	0.260297	0.281429	0.347691	0.4801	0.463009	hpgpEuroamerica	hpgpMediterranea	7.3
89	HpGP-CHI-014	44787	1.375533	1.263344	0.007156	18.04	81.96	0	0.387204	0.574522	0.309627	0.266463	0.243222	0.269558	0.337513	0.478575	0.463855	hpgpMediterranea	hpgpEuroamerica	9.56
90	HpGP-CHI-016	44787	1.373141	1.255369	0.00049	20.42	79.58	0	0.380517	0.569403	0.303298	0.261318	0.243402	0.26675	0.33508	0.473204	0.460102	hpgpMediterranea	hpgpEuroamerica	7.36
91	HpGP-CHI-017	44787	1.364441	1.261154	0.008521	19.8	80.2	0	0.382409	0.574345	0.306106	0.263889	0.243476	0.271881	0.340308	0.48339	0.466809	hpgpMediterranea	hpgpEuroamerica	8.38
92	HpGP-CHI-018	44787	1.358525	1.236173	0.012886	27.24	71.78	0.98	0.372508	0.577847	0.298333	0.253235	0.266591	0.284979	0.346035	0.472673	0.460546	hpgpEuroamerica	hpgpMediterranea	5.27
93	HpGP-CHI-021	44787	1.289926	1.204807	0.012868	43.66	55.25	1.1	0.332754	0.574045	0.275824	0.256365	0.273822	0.298509	0.359189	0.489449	0.465051	hpgpEuroamerica	hpgpMediterranea	6.81
94	HpGP-CHI-022	44787	1.261429	1.188978	0.005033	51.08	46.9	2.01	0.311976	0.567522	0.249427	0.260761	0.274126	0.29835	0.364068	0.492592	0.462048	hpgpAfroamerica	hpgpEuroamerica	4.54
95	HpGP-CHI-023	44787	1.343015	1.212927	0.002655	34.47	59.53	6	0.35331	0.567186	0.285953	0.243171	0.26567	0.285051	0.343832	0.463972	0.446949	hpgpEuroamerica	hpgpMediterranea	9.25
96	HpGP-CHI-024	44787	1.336222	1.218511	-0.005021	34.2	62.47	3.32	0.349438	0.566678	0.280692	0.235369	0.257184	0.276548	0.34072	0.468741	0.453956	hpgpEuroamerica	hpgpMediterranea	9.27
97	HpGP-CHI-026	44787	1.341009	1.234148	0.000704	29.88	70.12	0	0.359563	0.571958	0.28807	0.240285	0.255403	0.275666	0.342907	0.477207	0.459098	hpgpEuroamerica	hpgpMediterranea	6.29
98	HpGP-CHI-027	44787	1.353258	1.192248	-0.003266	37.54	48.63	13.83	0.347391	0.561666	0.281551	0.242218	0.269974	0.287146	0.336752	0.444631	0.427003	hpgpEuroamerica	hpgpMediterranea	11.46
99	HpGP-CHI-028	44787	1.346596	1.223366	-0.001073	31.7	65.03	3.27	0.357117	0.569185	0.2848	0.232886	0.2597	0.277889	0.340071	0.467354	0.449441	hpgpEuroamerica	hpgpMediterranea	11.51
100	HpGP-CHI-101	44787	1.419872	1.245405	0.003027	16.66	76.65	6.69	0.397007	0.572152	0.313277	0.270775	0.248951	0.27117	0.328828	0.443676	0.438958	hpgpMediterranea	hpgpEuroamerica	8.77
101	HpGP-CHI-102	44787	1.38602	1.246978	-0.004023	21.05	77.48	1.47	0.380819	0.569421	0.301698	0.260417	0.241623	0.265501	0.328676	0.460252	0.445806	hpgpMediterranea	hpgpEuroamerica	7.78
102	HpGP-CHI-103	44787	1.383945	1.262751	0.002605	17.27	82.73	0	0.388555	0.576744	0.307781	0.264496	0.241065	0.265563	0.333539	0.472606	0.457316	hpgpMediterranea	hpgpEuroamerica	9.72
103	HpGP-CHI-104	44787	1.440342	1.230161	0.005744	17.12	68.61	14.27	0.400853	0.574516	0.315989	0.276121	0.259475	0.278476	0.324464	0.424657	0.420514	hpgpMediterranea	hpgpEuroamerica	6.42
104	HpGP-CHI-105	44787	1.6653	1.189218	0.077836	0	44.62	55.38	0.507505	0.601349	0.397088	0.358158	0.371422	0.349224	0.313982	0.303144	0.182329	hpgpAklavik86-like	hpgpAsia	66.26
105	HpGP-CHI-106	44787	1.357712	1.250186	-0.001448	23.49	76.51	0	0.371474	0.574286	0.295376	0.253753	0.243055	0.267429	0.336708	0.477569	0.460443	hpgpMediterranea	hpgpEuroamerica	4.4
106	HpGP-CHI-107	44787	1.379986	1.256027	-0.005392	19.5	80.5	0	0.381143	0.567971	0.301136	0.258755	0.236118	0.26119	0.330991	0.468435	0.456161	hpgpMediterranea	hpgpEuroamerica	9.59
107	HpGP-CHI-110	44787	1.412271	1.241429	-0.000944	18.59	74.55	6.86	0.390781	0.571682	0.309714	0.270839	0.254638	0.269404	0.327974	0.444146	0.435892	hpgpMediterranea	hpgpEurope	5.8
108	HpGP-CHI-113	44787	1.39705	1.243469	0.004438	20.27	75.63	4.1	0.38752	0.573297	0.308767	0.268588	0.24767	0.273799	0.331934	0.454744	0.441238	hpgpMediterranea	hpgpEuroamerica	8.45
109	HpGP-CHI-114	44787	1.374119	1.249821	0.000801	21.86	78.14	0	0.378986	0.570196	0.302596	0.262099	0.244209	0.269017	0.336406	0.469455	0.456103	hpgpMediterranea	hpgpEuroamerica	7.33
110	HpGP-CHI-116	44787	1.67783	1.185565	0.076052	0	42.41	57.59	0.510547	0.601662	0.397483	0.358154	0.372185	0.348626	0.309279	0.293963	0.174733	hpgpAklavik86-like	hpgpAsia	68.24
111	HpGP-CHI-117	44787	1.412814	1.244098	0.000289	17.93	75.96	6.11	0.392503	0.570031	0.310662	0.268595	0.247416	0.269484	0.326438	0.445804	0.434717	hpgpMediterranea	hpgpEuroamerica	8.56
112	HpGP-CHI-119	44787	1.372691	1.201235	0.002925	32.87	53.37	13.76	0.361238	0.567967	0.29021	0.247897	0.273377	0.288652	0.336198	0.441636	0.4246	hpgpEuroamerica	hpgpMediterranea	10.28
113	HpGP-CHI-120	44787	1.298595	1.133266	0.000449	58.02	17.54	24.44	0.304629	0.562572	0.247843	0.271718	0.289577	0.313582	0.35191	0.438634	0.412669	hpgpAfroamerica	hpgpEuroamerica	9.63
114	HpGP-CHI-122	44787	1.317613	1.20962	0.005625	38.74	57.78	3.47	0.342899	0.566123	0.27844	0.245318	0.268286	0.289613	0.348788	0.475984	0.454197	hpgpEuroamerica	hpgpMediterranea	9.36
115	HpGP-CHI-123	44787	1.356963	1.234627	0.002426	27.8	70.97	1.24	0.366986	0.570069	0.294595	0.251691	0.260211	0.276501	0.339467	0.469688	0.457496	hpgpEuroamerica	hpgpMediterranea	3.39
116	HpGP-CHI-124	44787	1.299968	1.180987	0.012276	47.44	42.69	9.87	0.32778	0.573052	0.259604	0.265868	0.284805	0.306388	0.359736	0.469788	0.448924	hpgpAfroamerica	hpgpEuroamerica	2.41
117	HpGP-CHI-125	44787	1.339067	1.224163	-0.000576	32.58	65.45	1.97	0.354533	0.571291	0.282907	0.234147	0.258559	0.278259	0.341068	0.471874	0.454187	hpgpEuroamerica	hpgpMediterranea	10.43
118	HpGP-CHI-126	44787	1.403106	1.246548	0.004423	18.75	77.25	3.99	0.391138	0.573126	0.309492	0.267339	0.247521	0.272477	0.332431	0.453444	0.443025	hpgpMediterranea	hpgpEuroamerica	8.01
119	HpGP-CHI-127	44787	1.356785	1.219377	0.008515	31.14	62.93	5.93	0.36376	0.570655	0.292998	0.252529	0.270503	0.287368	0.339466	0.462303	0.441736	hpgpEuroamerica	hpgpMediterranea	7.12
120	HpGP-CHI-204	44787	1.441717	1.222476	0.000482	18.6	64.56	16.84	0.396395	0.572017	0.312964	0.274002	0.260919	0.276668	0.318153	0.417891	0.413468	hpgpMediterranea	hpgpEuroamerica	5.01
121	HpGP-CHI-207	44787	1.325643	1.231898	0.004128	32.03	67.97	0	0.353844	0.572406	0.28964	0.250386	0.261877	0.279932	0.348556	0.484769	0.468968	hpgpEuroamerica	hpgpMediterranea	4.59
122	HpGP-CHI-208	44787	1.760781	1.100822	0.001021	0.52	0.43	99.05	0.482162	0.576903	0.371259	0.330155	0.342093	0.311849	0.257501	0.179521	0.297032	hpgpAsia	hpgpEurasia	43.44
123	HpGP-CHI-209	44787	1.32331	1.220623	-0.001691	35.55	63.59	0.87	0.346305	0.567094	0.280438	0.237785	0.259097	0.279064	0.345033	0.477621	0.45533	hpgpEuroamerica	hpgpMediterranea	8.96
